name,address,latitude,longitude
(의)가산의료재단 광동병원,"서울특별시 강남구 봉은사로 612, (삼성동)",37.5142863,127.0621662
123스텝업병원,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",37.537382,127.1234953
365엠씨(mc)병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",37.4929843,127.0141365
9988병원,"서울특별시 성동구 왕십리로 269, (행당동)",37.5585817,127.0375193
가자연세병원,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",37.5689576,126.9165989
강남고려병원,"서울특별시 관악구 관악로 242, (봉천동)",37.4856349,126.9567943
강남수병원,"서울특별시 송파구 삼전로2길 11, (삼전동)",37.5013402,127.0861578
강남유나이티드병원,"서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동)",37.4849802,127.0351301
강남을지대학교병원,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",37.5194124,127.0286438
강남제이에스병원,"서울특별시 강남구 도곡로 122, 제이에스빌딩 (도곡동)",37.4899185,127.033745
강남지인병원,"서울특별시 강남구 언주로 631, 강남지인병원 지하2층. 2~6층 (논현동)",37.5127891,127.03505
강남초이스병원,"서울특별시 강남구 테헤란로 337, 4~8층 (역삼동)",37.5047776,127.0484885
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",37.4815953,126.9117246
강동삼성재활의학과병원,"서울특별시 강동구 천호대로 1165, (길동)",37.5340867,127.1409415
강동아너스힐병원,"서울특별시 강동구 양재대로 1463, 5~15층 (길동)",37.5366086,127.1392273
강동연세병원,"서울특별시 강동구 올림픽로 734, (천호동)",37.5467696,127.1266323
강북21세기병원,"서울특별시 중랑구 면목로 473, (상봉동)",37.594048,127.0856598
강북연세병원,"서울특별시 노원구 동일로 996, (공릉동)",37.6191956,127.0754877
강북우리병원,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",37.6425442,127.022638
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",37.6254286,127.026202
