name,park_type,address,latitude,longitude,park_area,district_name
은하수공원,어린이공원,서울특별시 강동구 양재대로145길8(명일동),37.552017,127.1435031,2018.0,강동구
게내공원,어린이공원,서울특별시 강동구 상일로5길26(상일동),37.549262,127.171472,1500.0,강동구
말우물공원,어린이공원,서울특별시 강동구 상일로21길14-7(고덕동),37.560012,127.169476,1619.1,강동구
한우물공원,어린이공원,서울특별시 강동구 아리수로72길60-16(고덕동),37.561635,127.162736,1500.0,강동구
꿈나래공원,어린이공원,서울특별시 강동구 아리수로64길29(고덕동),37.5608275,127.153742,1500.0,강동구
성내공원,근린공원,서울특별시 강동구 성내로3가길 71(성내동),37.529486,127.126516,8929.0,강동구
천일골목공원,어린이공원,서울특별시 강동구 진황도로27다길30(천호동),37.5405287,127.1314181,233.0,강동구
올림픽공원,기타,서울특별시 송파구 올림픽로 424,37.520341,127.115518,1447122.3,송파구
백제초기적석총,역사공원,서울특별시 송파구 가락로7길 21,37.50214179,127.102815,45137.8,송파구
방이동고분,역사공원,서울특별시 송파구 오금로 219,37.50757311,127.1181634,30293.7,송파구
신천어린이교통,근린공원,서울특별시 송파구 올림픽로35다길 33,37.516022,127.101762,12755.5,송파구
상일공원,근린공원,서울특별시 강동구 상암로79가길3(상일동),37.5469247,127.167312,9704.0,강동구
방죽공원,근린공원,서울특별시 강동구 동남로82길94-58(고덕동),37.5591586,127.1598268,87748.6,강동구
까치공원,근린공원,서울특별시 강동구 고덕로 55길70(고덕동),37.557079,127.149995,19464.8,강동구
송림공원,근린공원,서울특별시 강동구 고덕로 지하253(고덕동),37.55504732,127.1539494,11491.0,강동구
원터공원,근린공원,서울특별시 강동구 양재대로147길 18(명일동),37.5524155,127.1430368,24508.5,강동구
암사공원,어린이공원,서울특별시 강동구 고덕로28길36(암사동),37.552756,127.137981,1780.0,강동구
당말공원,어린이공원,서울특별시 강동구 진황도로29길34(천호동),37.53912769,127.133246,2409.0,강동구
천일공원,어린이공원,서울특별시 강동구 구천면로42길60(천호동),37.54498878,127.1362629,2408.0,강동구
방아다리공원,어린이공원,서울특별시 강동구 동남로65길46-8(명일동),37.548156,127.153648,2010.4,강동구
돌마리,어린이공원,서울특별시 송파구 가락로7길 4,37.5006205,127.103249,1715.6,송파구
능골,어린이공원,서울특별시 송파구 동남로14길 1746,37.493129,127.133207,1484.7,송파구
새말,어린이공원,서울특별시 송파구 송이로23길 1628,37.494731,127.125727,1498.1,송파구
새마을,어린이공원,서울특별시 송파구 석촌호수로12길 117,37.508222,127.086579,1667.3,송파구
삼학사,어린이공원,서울특별시 송파구 백제고분로27길 4024,37.506232,127.095323,1648.0,송파구
봉우리,어린이공원,서울특별시 송파구 양재대로62길 3213,37.496495,127.119238,1495.2,송파구
벌말,어린이공원,서울특별시 송파구 동남로28길 23,37.501638,127.140281,1502.1,송파구
동호수,어린이공원,서울특별시 송파구 송파대로48길 28,37.50991906,127.1070996,1469.7,송파구
부장천,어린이공원,서울특별시 금천구 금하로 668,37.45266794,126.9044062,944.0,금천구
새재미,어린이공원,서울특별시 금천구 독산로39길 16,37.45884579,126.904239,1185.2,금천구
소망,어린이공원,서울특별시 금천구 독산로75길 12-7,37.46936829,126.9016706,998.0,금천구
반수,어린이공원,서울특별시 금천구 독산로93길 18,37.4740151,126.902233,990.6,금천구
동산,어린이공원,서울특별시 금천구 독산로54길 247,37.47292006,126.9059645,1017.2,금천구
금나래중앙,문화공원,서울특별시 금천구 시흥대로79길 53,37.45807525,126.8949359,16331.3,금천구
은행,어린이공원,서울특별시 금천구 금하로 689-2,37.45204371,126.9071079,865.0,금천구
무궁화공원,어린이공원,서울특별시 광진구 광나루로52길 12 (구의동),37.5412468,127.0945509,1041.7,광진구
목련공원,어린이공원,서울특별시 광진구 아차산로59길 49 (구의동),37.54064005,127.0906545,989.8,광진구
긴고랑공원,어린이공원,서울특별시 광진구 긴고랑로 143 (중곡동),37.55888021,127.0910186,633.0,광진구
해오름공원,어린이공원,서울특별시 광진구 영화사로7길 25 (중곡동),37.55678467,127.0921845,840.0,광진구
배나무터공원,어린이공원,서울특별시 광진구 동일로76나길 20 (중곡동),37.56834108,127.0802695,971.9,광진구
중곡공원,어린이공원,서울특별시 광진구 긴고랑로5길 10 (중곡동),37.5645362,127.079141,995.7,광진구
군자공원,어린이공원,서울특별시 광진구 동일로52길 27 (군자동),37.55456506,127.0728509,642.0,광진구
화양공원,어린이공원,서울특별시 광진구 아차산로31길 14 (화양동),37.54160778,127.0696005,996.4,광진구
햇님공원,어린이공원,서울특별시 광진구 아차산로25길 27 (화양동),37.5426933,127.0670227,1002.3,광진구
한아름공원,어린이공원,서울특별시 광진구 군자로3길 15 (화양동),37.5443368,127.0704685,936.2,광진구
가중나무공원,어린이공원,서울특별시 광진구 동일로28길 16 (화양동),37.54651869,127.0677034,971.6,광진구
노유산공원,어린이공원,서울특별시 광진구 아차산로32길 17 (자양동),37.5391102,127.0685096,993.1,광진구
동자공원,어린이공원,서울특별시 광진구 자양번영로3길 16 (자양동),37.5318659,127.0742753,985.9,광진구
금모래공원,어린이공원,서울특별시 광진구 뚝섬로56길 28 (자양동),37.53030963,127.0825402,1022.5,광진구
언덕배기공원,어린이공원,서울특별시 광진구 뚝섬로62길 24 (자양동),37.53214981,127.0879487,800.4,광진구
장독골공원,어린이공원,서울특별시 광진구 아차산로40길 46 (자양동),37.5356422,127.0778292,997.4,광진구
자마장공원,어린이공원,서울특별시 광진구 자양로13길 41 (자양동),37.53444854,127.0821916,998.8,광진구
정말공원,어린이공원,서울특별시 광진구 자양로13다길 34 (자양동),37.53316616,127.0781758,989.4,광진구
온달공원,어린이공원,서울특별시 광진구 아차산로73길 15 (광장동),37.54598669,127.1040763,1012.0,광진구
구의공원,어린이공원,서울특별시 광진구 광나루로56길 86 (구의동),37.53650324,127.0947414,10464.0,광진구
구둘공원,어린이공원,서울특별시 광진구 자양로42길 44 (구의동),37.5481208,127.0921708,788.1,광진구
푸른동산공원,어린이공원,서울특별시 광진구 광나루로44길 32 (구의동),37.5429034,127.0911933,933.2,광진구
장미공원,어린이공원,서울특별시 광진구 구의강변로3길 39 (구의동),37.5362728,127.0901418,986.5,광진구
성심공원,어린이공원,서울특별시 강동구 천중로40길66(길동),37.53831458,127.137376,992.3,강동구
