name,station_no,node_id,latitude,longitude
서울예술고등학교.평창동주민센터,100000068,01163,37.6057787606,126.9676276108
화정박물관,100000069,01164,37.6045038178,126.9648102665
삼성강북병원.경교장,100000376,01165,37.568145927,126.9686004828
독립문역.서대문형무소역사관,100000072,01167,37.573395,126.959322
금화초등학교.서울시교육청,100000073,01168,37.568297,126.964532
서대문역사거리.적십자병원,100000368,01169,37.5671081521,126.9675878497
독립문,100000075,01171,37.5713430165,126.9614303112
창덕궁.우리소리박물관,100000076,01172,37.5775405746,126.9885394479
서린동.SK서린빌딩,100000077,01173,37.5692639006,126.9800947893
청계1가.장통교,100000078,01174,37.568684389,126.9849267193
청계2가.수표교,100000079,01175,37.5684453156,126.9908172161
청계4가.세운교,100000080,01176,37.5689254028,126.9965617399
청계5가.광장시장,100000081,01177,37.5694512793,126.9997973605
원남동,100000102,01198,37.5745325055,126.9973383362
창덕궁.우리소리박물관,100000103,01199,37.5772726542,126.9889538872
안국역6번출구.인사동문화의거리,100000104,01200,37.575798979,126.9841344381
조계사.종로경찰서,100000105,01201,37.5725223095,126.9831555803
조계사.종로경찰서,100000106,01202,37.5724858087,126.9828258888
안국동사거리,100000107,01203,37.5746105669,126.9827201116
효제동.김상옥의거터,100000108,01204,37.5745,127.00223
종로5가.효제초등학교,100000109,01205,37.5728790133,127.0021442279
창덕궁.돈화문국악당,100000414,01209,37.5774327721,126.991234977
종로5가역6번출구,100000116,01212,37.5705596025,127.0021826522
청계5가.마전교,100000117,01213,37.5698351103,127.0028494203
동대문,100000118,01214,37.5717262368,127.0084126252
충신동,100000119,01215,37.5740223509,127.006278812
충신동,100000121,01217,37.5744602778,127.0063433807
연지공원앞.현대그룹빌딩,100000122,01218,37.5759104142,127.0008065808
방송통신대.이화장,100000123,01219,37.578043,127.002437
혜화역2번출구.마로니에공원,100000124,01220,37.5811194873,127.0022769364
혜화역3번출구.서울대병원입구,100000125,01221,37.5809559696,127.0018481852
방송통신대.이화장,100000126,01222,37.5777889737,127.0019782952
연지공원앞.현대그룹빌딩,100000127,01223,37.576119355,127.0006951494
창경궁.서울대학교병원,100000128,01224,37.5788279947,126.9968717143
이화동(이화장),100000129,01225,37.5759372914,127.0032708172
혜화동로터리,100000130,01226,37.5855803307,127.0006878052
명륜동2가.성균관대입구,100000131,01227,37.5834170764,126.9993412723
혜화역.서울연극센터(장면총리가옥),100000132,01228,37.5840306853,127.0014608831
혜화역.동성중고(장면총리가옥),100000133,01229,37.5845329425,127.0015561579
종로구민회관.창신동두산아파트,100000135,01231,37.5740926792,127.0155555279
동묘앞역6번출구,100000139,01235,37.5716849566,127.0156014431
동묘앞역5번출구,100000140,01236,37.5719221488,127.0159450485
청계2가교차로,101000307,01237,37.5684809008,126.9878778705
창신3동주민센터,100000142,01238,37.578413,127.015178
숭인1동주민센터.창신역4번출구,100000143,01239,37.5786281555,127.0154557816
동묘앞역.롯데캐슬천지인,100000144,01240,37.5741800523,127.0158023517
신설동역오거리,100000147,01243,37.5756947252,127.0228414296
동묘앞역2번출구,100000364,01245,37.5736431148,127.0175234975
구기동현대빌라,100000150,01246,37.609682,126.956622
광장시장,100000151,01247,37.5694963125,126.9977437946
서울특별시재향군인회관,100000153,01249,37.5725807445,126.9974787875
서울역사박물관,100000154,01250,37.5699003386,126.9721318077
청계3가.관수교,100000155,01251,37.5686887917,126.9937793705
청계6가.버들다리,100000156,01252,37.5699303868,127.0080377075
청계7가.맑은내다리,100000157,01253,37.5700419608,127.0130967122
청계8가.영도교,100000158,01254,37.5708949889,127.0181256262
원남동사거리,100000159,01256,37.5757617378,126.9981123217
숭인2동주민센터,100000165,01262,37.5742721533,127.0204373408
조계사,100000169,01267,37.572800338,126.9831609226
세종문화회관,100000174,01272,37.5733655664,126.9770167126
이화동(이화장),100000179,01277,37.576257,127.002955
