name,category,address,latitude,longitude,district_name
이마트,mart,서울특별시 성북구 동소문로41길 4,37.6060342944306,127.026828914647,성북구
진에듀,academy,서울특별시 금천구 시흥대로 350,37.4645812858417,126.898030011372,금천구
씨유루체빌리조트점,mart,서울특별시 종로구 창덕궁5길 22-8,37.5835930666358,126.988338756832,종로구
롯데리아길동,mart,서울특별시 강동구 천호대로 1124,37.5343386941726,127.136188333762,강동구
승리에듀케이션,academy,서울특별시 노원구 중계로 206,37.6508449604287,127.077520817285,노원구
동국대학교,academy,서울특별시 중구 필동로1길 30,37.5589333965099,126.998732399329,중구
주-교육다움,academy,서울특별시 강남구 학동로 130,37.5120876283115,127.0254831999,강남구
씨제이올리브영,mart,서울특별시 강남구 도산대로 116,37.5166024474827,127.021514410208,강남구
VIC마켓문화비,mart,서울특별시 영등포구 영중로 125,37.5278194700972,126.904686633347,영등포구
이마트24R센터필드,mart,서울특별시 강남구 테헤란로 231,37.5028838763195,127.041358464256,강남구
GS25공덕블레스점,convenience,서울특별시 마포구 만리재로 94,37.5485740920929,126.959793198922,마포구
이마트노브랜드영등포,mart,서울특별시 영등포구 양평로 135,37.5382067071766,126.89266849025,영등포구
이티아이티지교육그룹잇올스파르타강서,academy,서울특별시 강서구 마곡중앙4로 74,37.5578809623624,126.834920029449,강서구
GS25을지로,convenience,서울특별시 중구 충무로 55-1,37.5661231159302,126.992472897715,중구
에스티유니타스강남,academy,서울특별시 서초구 서초대로77길 55,37.5021047086036,127.024461971529,서초구
이마트24과기대수림학사점,mart,서울특별시 노원구 공릉로 232,37.6330780309353,127.076788624216,노원구
GS25원효타운점,convenience,서울특별시 용산구 새창로 146,37.5346182848668,126.96183724612,용산구
노브랜드노원상계동점,mart,서울특별시 노원구 수락산로 222,37.6709138089274,127.054237245254,노원구
GS수퍼,mart,서울특별시 강동구 양재대로 1630,37.5510600016931,127.144796784223,강동구
가우스에듀,academy,서울특별시 광진구 광나루로 602,37.5417944739279,127.094708814388,광진구
케어닥,academy,서울특별시 강남구 삼성로91길 36,37.506573186368,127.053360359216,강남구
GS25중곡마루점,convenience,서울특별시 광진구 용마산로21길 34,37.5633443010117,127.085579399952,광진구
로앤비교육센터학원,academy,서울특별시 서초구 서초대로56길 40,37.4928075922559,127.017267129051,서초구
CU구로우리점,convenience,서울특별시 구로구 구로동로 206,37.49689524801,126.88269701385,구로구
씨제이올리브영상암ENM점,mart,서울특별시 마포구 상암산로 66,37.5783991282175,126.891524026314,마포구
씨제이올리브영연신내,mart,서울특별시 은평구 통일로 857,37.6195883790781,126.92037083558,은평구
씨제이올리브영,mart,서울특별시 서초구 강남대로 507,37.5071687108065,127.0226992571,서초구
기강수학학원,academy,서울특별시 마포구 백범로 67,37.5491691203017,126.939525232985,마포구
정상어학원지점,academy,서울특별시 금천구 금하로 773,37.4503683250916,126.915837840377,금천구
마포상암유투엠학원,academy,서울특별시 마포구 월드컵북로5길 51,37.556074569895,126.91625102019,마포구
GS25대림나누리점,convenience,서울특별시 영등포구 대림로31길 26,37.4962770207632,126.896019270374,영등포구
세븐일레븐아벤트리,convenience,서울특별시 종로구 우정국로 46,37.5731048948511,126.98333694916,종로구
이마트메트로,mart,서울특별시 양천구 화곡로 59,37.5397527648518,126.828510482313,양천구
이마트24은평새절역점,mart,서울특별시 은평구 가좌로 251-2,37.5915548666769,126.915033707035,은평구
씨제이올리브영시청역,mart,서울특별시 중구 세종대로16길 1,37.5635442885348,126.977113870551,중구
고수의운전면허,academy,서울특별시 마포구 백범로 113-1,37.5471350687826,126.943996726892,마포구
씨제이올리브영포도몰점,mart,서울특별시 관악구 신림로 330,37.4838502539028,126.930227423295,관악구
롯데마트문화비,mart,서울특별시 강북구 삼양로 247,37.6255153782403,127.017750898641,강북구
타임교육,academy,서울특별시 양천구 목동동로 233-1,37.5274907740594,126.871573592334,양천구
GS25보조6점,convenience,서울특별시 송파구 올림픽로 25,37.5161925601351,127.075944768632,송파구
케이엔에스에듀대치,academy,서울특별시 강남구 역삼로90길 43,37.5015855314751,127.063648181323,강남구
엠비씨씨앤아이,academy,서울특별시 송파구 백제고분로9길 10,37.5089186521434,127.080190073312,송파구
미니스톱한강잠원,mart,서울특별시 강남구 압구정로11길 37-30,37.5276583885063,127.017671118795,강남구
최선외국어학원,academy,서울특별시 강남구 남부순환로 2917,37.4931634530126,127.059163093631,강남구
에듀윌대방,academy,서울특별시 동작구 노량진로 26,37.5129519758164,126.928922207931,동작구
에쓰엠포유,academy,서울특별시 중랑구 신내로 225,37.6169670149357,127.091360778687,중랑구
GS25성산,convenience,서울특별시 마포구 성산로 124,37.5638346330143,126.907504373931,마포구
이마트노브랜드서초,mart,서울특별시 서초구 방배로 110,37.484069019345,126.996291448167,서초구
롯데쇼핑제타플렉스,mart,서울특별시 송파구 올림픽로 240,37.5113107817557,127.098142657562,송파구
성산노인복지센터,academy,서울특별시 마포구 월드컵로 161,37.5619671116033,126.904416781922,마포구
잇올스파르타독학재수학원,academy,서울특별시 동작구 노량진로 104,37.5130289460132,126.937574993112,동작구
이마트노브랜드두타몰점,mart,서울특별시 중구 장충단로 275,37.5688890862164,127.008783830614,중구
스칸디에듀,academy,서울특별시 서초구 서초대로24길 42,37.4855645938066,126.993894335642,서초구
GS25뉴광희,convenience,서울특별시 중구 퇴계로 342,37.5643299898,127.009519009454,중구
엘이씨에듀넷,academy,서울특별시 관악구 호암로 603,37.4711659131686,126.933472334898,관악구
에듀플렉스돈암점,academy,서울특별시 성북구 아리랑로 15,37.5942513089532,127.015931756202,성북구
에스씨에이아카데미신촌,academy,서울특별시 서대문구 신촌로 183,37.5570741566592,126.946320710965,서대문구
씨제이올리브영안암점,mart,서울특별시 성북구 고려대로24길 8,37.5858064715495,127.029210580483,성북구
GS25대림승리점,convenience,서울특별시 영등포구 도림로47길 13,37.496316382541,126.899864072464,영등포구
세븐등촌능안점,mart,서울특별시 강서구 등촌로39길 52,37.5467501919702,126.86015664966,강서구
GS슈퍼광진화양점-제휴,mart,서울특별시 광진구 능동로13길 39,37.5439652361102,127.069760669241,광진구
동작구청상도스포츠클럽,academy,서울특별시 동작구 성대로2길 11,37.4991320239978,126.931400633989,동작구
GS수퍼본부특판점,mart,서울특별시 강남구 논현로 508,37.5019932182259,127.037343184942,강남구
우리셀프빨래방협동조합,laundry,서울특별시 중랑구 중랑역로4길 29,37.5957490569171,127.078346852884,중랑구
코레일유통경인지사,convenience,서울특별시 영등포구 여의대방로 300,37.5133287960711,126.926309016366,영등포구
진학학원고등관,academy,서울특별시 금천구 시흥대로 208,37.4524838755634,126.901787331825,금천구
피엠디아카데미,academy,서울특별시 마포구 양화로 78,37.5513808474751,126.916923958835,마포구
청담러닝청담어학원,academy,서울특별시 서초구 고무래로10길 19,37.5009985587794,127.010257365241,서초구
시사일본어학원,academy,서울특별시 서대문구 명물길 74,37.5588011738796,126.940287062431,서대문구
타임교육,academy,서울특별시 강남구 봉은사로 442,37.511260612733,127.04823996714,강남구
CUSK대우셀프주유소점,convenience,서울특별시 서초구 양재대로 173,37.4628354369099,127.037154151382,서초구
베들레햄방앗간,mart,서울특별시 관악구 관천로 27,37.4821638669027,126.927730305536,관악구
올가홀푸드,mart,서울특별시 송파구 양재대로71길 4,37.5104100397194,127.126316000538,송파구
한국해양교육협회,academy,서울특별시 영등포구 당산로 84,37.5221358632583,126.896039956046,영등포구
타임교육,academy,서울특별시 강남구 삼성로57길 30,37.4976327319426,127.058589880574,강남구
리딩엠역삼,academy,서울특별시 강남구 역삼로52길 14,37.4985565381764,127.04799430999,강남구
엠비씨프레이비,academy,서울특별시 송파구 올림픽로 240,37.5113107817557,127.098142657562,송파구
씨유을지로,mart,서울특별시 중구 마른내로 34,37.5642309716437,126.991692100245,중구
씨앤씨학원_일반,academy,서울특별시 양천구 목동서로 389,37.5157840420382,126.861209850317,양천구
이마트,mart,서울특별시 강동구 천호대로 1017,37.5387297644287,127.125153073699,강동구
홈플러스익스프레스응암일반,mart,서울특별시 은평구 응암로 247,37.5942237958525,126.917850150073,은평구
승리에듀케이션,academy,서울특별시 노원구 한글비석로 227,37.6479085774226,127.076259985574,노원구
대흥할인마트,mart,서울특별시 양천구 목동중앙본로 95,37.5442030326931,126.87039073518,양천구
롯데리아마들역,mart,서울특별시 노원구 동일로 1532,37.6652989245743,127.057973376939,노원구
청산에듀,academy,서울특별시 강동구 양재대로 1517,37.541261884759,127.140874095873,강동구
오아시스한성대역점,mart,서울특별시 성북구 성북로 12,37.5894049237615,127.005389498387,성북구
