district_name,name,category,course,address
송파구,치미미술학원,예능(대),미술,서울특별시 송파구 올림픽로35길 124
영등포구,그리고만들고미술교습소,예능(대),,서울특별시 영등포구 여의대방로35길 17
영등포구,아지트미술교습소,예능(대),미술,서울특별시 영등포구 당산로44길 3
영등포구,제니쌤잉글리시영어교습소,국제화,실용외국어(유아/초·중·고),서울특별시 영등포구 여의대방로35길 5-1
송파구,튼튼영어마스터클럽풍납영어교습소,입시.검정 및 보습,보습,서울특별시 송파구 풍성로20길 5
송파구,이프로바둑교습소,기타(대),,서울특별시 송파구 올림픽로35길 112
송파구,페리아트스튜디오미술교습소,입시.검정 및 보습,,서울특별시 송파구 올림픽로35길 124
송파구,"그리고,그림미술교습소",예능(대),미술,서울특별시 송파구 오금로31가길 11-1
강남구,예스터디(YESTUDY)수학교습소,입시.검정 및 보습,,서울특별시 강남구 압구정로20길 15
노원구,피케이(PK)독학재수노원학원,입시.검정 및 보습,보습,서울특별시 노원구 동일로 1382
동작구,임용닷컴학원,인문사회(대),성인고시,서울특별시 동작구 장승배기로28길 20
성동구,꿈담미술창작소왕십리센터미술교습소,예능(대),미술,서울특별시 성동구 마장로 137
도봉구,소엠수학학원,입시.검정 및 보습,보습,서울특별시 도봉구 노해로 247
은평구,맘마미아음악학원,예능(대),,서울특별시 은평구 연서로 35
구로구,항동2관파워학원,입시.검정 및 보습,보습,서울특별시 구로구 서해안로 2104
광진구,에이드캠퍼스원격학원,기예(대),,서울특별시 광진구 능동로 266
관악구,삼성영어셀레나서림영어교습소,국제화,외국어,서울특별시 관악구 신림로29길 3-20
송파구,아뛰르(Attiru)학원,예능(대),미술,서울특별시 송파구 위례광장로 230
강서구,하하호호영어학원,입시.검정 및 보습,보습,서울특별시 강서구 마곡중앙2로 15
강서구,매쓰그릿수학교습소,입시.검정 및 보습,보습,서울특별시 강서구 공항대로 124
양천구,홍익블루밍아트미술학원,예능(대),미술,서울특별시 양천구 월정로 177
강남구,압구정씨앤씨미술학원,예능(대),,서울특별시 강남구 압구정로34길 11
노원구,김선생수학교습소,입시.검정 및 보습,보습·논술,서울특별시 노원구 석계로 49
서초구,원네스트원격학원,입시.검정 및 보습,,서울특별시 서초구 강남대로51길 10
영등포구,튼튼영어마스터클럽영등포신길영어교습소,입시.검정 및 보습,,서울특별시 영등포구 여의대방로 165-2
서초구,비에프스쿨학원,입시.검정 및 보습,,서울특별시 서초구 서운로11길 35
강북구,한우리독서토론논술강북꿈의숲논술교습소,입시.검정 및 보습,보습·논술,서울특별시 강북구 오패산로30길 69
