admin_code,admin_name,district_name,area_km2,station_count,station_density,bus_stop_count,bus_stop_density,hospital_count,hospital_density,school_count,school_density,mart_count,mart_density,convenience_count,convenience_density,laundry_count,laundry_density,academy_count,academy_density,park_count,park_density,park_area_sum,park_area_ratio
11110515,청운효자동,종로구,2.568432015175918,0.0,0.0,29,11.290935414544629,8.0,3.1147408040123117,6.0,2.3360556030092336,12,4.672111206018467,9,3.5040834045138505,4,1.5573704020061558,67,26.085954233603108,0.0,0.0,0.0,0.0
11110530,사직동,종로구,1.1585357422248006,2.0,1.7263170458248347,33,28.484231256109773,76.0,65.60004774134372,1.0,0.8631585229124173,28,24.168438641547684,23,19.8526460269856,5,4.315792614562087,124,107.03165684113975,3.0,2.589475568737252,269694.8,0.2327893652051598
11110540,삼청동,종로구,1.47925477291931,0.0,0.0,17,11.49227321163243,9.0,6.084144641452463,2.0,1.352032142544992,8,5.408128570179968,6,4.056096427634976,1,0.676016071272496,31,20.956498209447375,1.0,0.676016071272496,468348.2,0.3166109101515452
11110550,부암동,종로구,2.274738838113258,0.0,0.0,34,14.94677078103643,4.0,1.7584436212984034,4.0,1.7584436212984034,11,4.83571995857061,12,5.27533086389521,5,2.1980545266230043,56,24.61821069817765,0.0,0.0,0.0,0.0
11110560,평창동,종로구,8.947328208069015,0.0,0.0,54,6.035321242748299,15.0,1.6764781229856387,1.0,0.11176520819904258,13,1.4529477065875536,9,1.005886873791383,7,0.7823564573932981,58,6.48238207554447,2.0,0.22353041639808516,20299.4,0.0022687666673156448
11110570,무악동,종로구,0.36952040244727175,1.0,2.7062105187620697,4,10.824842075048279,5.0,13.531052593810347,1.0,2.7062105187620697,2,5.4124210375241395,6,16.237263112572418,2,5.4124210375241395,18,48.71178933771725,0.0,0.0,0.0,0.0
11110580,교남동,종로구,0.34692557006611624,0.0,0.0,22,63.4141784239406,22.0,63.4141784239406,2.0,5.764925311267327,2,5.764925311267327,10,28.824626556336636,1,2.8824626556336637,30,86.4738796690099,0.0,0.0,0.0,0.0
11110600,가회동,종로구,0.5399551791398414,0.0,0.0,21,38.89211699655033,6.0,11.112033427585807,4.0,7.408022285057204,14,25.928077997700218,7,12.964038998850109,2,3.704011142528602,40,74.08022285057204,1.0,1.852005571264301,10004.6,0.018528574938270828
11110615,종로1·2·3·4가동,종로구,2.417171247227561,5.0,2.06853362405948,68,28.13205728720893,139.0,57.505234748853546,2.0,0.827413449623792,95,39.302138857130124,92,38.06101868269443,15,6.20560087217844,369,152.65778145558963,3.0,1.2411201744356881,507534.7,0.20997051846538822
11110630,종로5·6가동,종로구,0.6031668548485877,2.0,3.3158320685609586,18,29.842488617048627,74.0,122.68578653675547,1.0,1.6579160342804793,30,49.73748102841438,18,29.842488617048627,6,9.947496205682876,42,69.63247343978013,0.0,0.0,0.0,0.0
